Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
"Dumpers were unloading by-product for rake loading, payloader was being operated to stack the material. Due to rain there was water, A dumper got skid onthe surface while braking but a collision was avoided with the other dumper.",Slippary Pathway,Slippery surface,Poor housekeeping,,Unstable Condition,Contact with hazardous element,,Other Roads,,1. property 2. human,1. property damage 2. injury
A Small crane was handling material for gallery erection near new plant Raw Coal Silos. The Crane just started and the flagman rushed to take flag and in the process hit the crane slightly from one side of his arm.,Neglegent Driving,Driving vehicle,Pedestrian error,,Contact with hazardous element,,,Other Roads,,,
One Truck was engaged in By Prduct Loading at Loading station area. Truck was standing on Road side. This was restricting Road site.,Slippary Pathway,Fouling/obstructing object/equipment,Driver error,,,Trapped in field of hazardous element,,Other Roads,,,
during the one people crossing the road than he was sliped  on zebra crossing  but he was not injured,Slippary Pathway,Slippery surface,Poor housekeeping,,Unstable Condition,Contact with hazardous element,,Other Roads,,1. human,1. injury
during  travelling  one person hit  with heap of clay near one side of road ,Neglegent Driving,Driving vehicle,Driver error,,Contact with hazardous element,,,Other Roads,,,
the 2pit O/H line breaker (sw no-11) of 3.3kv is controlling of colony lighting . its operated daily at least two times for shedding of power at morning at 8am and evening 4pm.it is operated is load directly due to direct putting on load (100amps approx.) cause tremendors archime inside oil tank. ,Improper placement of hazardous equipment,Wire/cable,Improper design,,Safety systems not present,Contact with hazardous element,,Main Road,,,
There are four nos  of overhead line of 3.3kv from sijua main sub station to 8pit and 2pit substation. near between three no colony and 4pit one another 33kv dvc overhead line crossing over our overhead line. ,Improper placement of hazardous equipment,Wire/cable,Improper design,,Safety systems not present,Contact with hazardous element,,Main Road,,,
During morning duty on 12/07/18 A shift for bhelatand  colony to sijua office when bumper near bhelatand feeder hospital one track crossing from sijua towards bhelatand more my in front one motor cycle riding wheel slipped .,Slip /trip /fall,Unbalanced vehicle,Driver error,,Unstable Condition,Contact with hazardous element,,Main Road,,,
When One worker was going to 8 pit from sijua colliery suddenly I take a brake and  unbalanced in turning due to another motorcycle was came from opposite direction but no injury be happen when worker was fall down.,Vehicle Dashing,Unbalanced vehicle,Driver error,,Unstable Condition,Contact with hazardous element,,Main Road,,1. human,1. injury
A person using mobile nearly escaped hitting a moving vehicle,Carelessness,Driving vehicle,Driver error,,Contact with hazardous element,,,Main Road,1. Slip /trip /fall,1. human,1. injury
A speeding car took a sharp turn in front of a scooter.,Neglegent Driving,Driving vehicle,Driver error,,Fouling/obstruction with hazardous element,,,Main Road,1. collision,1. human 1. property,1. injury 2. property damage
Sri RamXY Paswan(lamp cabin issue clerk) while going to book attendance got dashed with a lamp post as he was inattentive .,Carelessness,Pole,Pedestrian error,,Decision making ability impaired ,Contact with hazardous element,Contact with hazardous element,Other Roads,,,
in 4 dip 3 no junction there are retaining wall in which pump worker were used for travelling while crossing retaining wall  it may be fall down.,Carelessness,Slippery surface,Improper maintenance,,Unstable Condition,Contact with hazardous element,,Main Road,,,
"While stores truck moving from gate of BAC and contractor cyclist was moved same direction but due to turning rt side near security cabin but cyclist brake did not work and healso moved same direction for avoiding collision with truck but no injury was taken place,",Neglegent Driving,Driving vehicle,Improper maintenance,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,1. collision,1. human 1. property,1. injury 2. property damage
While coming to office by bike one of the colliery employee riding on bicycle suddenly take right turn with out any indication  for parking his cycle near road side drain. I was about to hit the cycle but luckily there was no accident as speed was within limit.,Vehicle Dashing,Driving vehicle,Driver error,,Fouling/obstruction with hazardous element,Contact with hazardous element,,Main Road,1. collision,1. human 1. property,1. injury 2. property damage
"Vehcle no running under M/S XY and Co.pvt.ltd,driver name Jitendra chauhan was dumping raw coal at hopper by lifting dala of dumper.After dumping raw coal, the dala was being down by driver at this moment a power cable (This was isolated old power cable)   was entangled by dala of dumper.The cable got loose.",Fouling,Wire/cable,Carelessness,,Fouling/obstruction with hazardous element,,,Other Roads,,,
DUE TO GAP BETWEEN MAIN PEDESRTRIAN ROAD AND ROAD FOR CYCLE STAND ONEPERSON LEG WAS TRAPPED  BUT HE MANAGED .,Poor Road Condition,Pit/ditch,Improper assessment of situation,,,Trapped in field of hazardous element,,Other Roads,,,
car  self roll and hit other standing car. ,Lack of balance,Driving vehicle,SOP violation,,Unstable Condition,Contact with hazardous element,,Other Roads,1. vehicle dashing,1. property,1. property damage
condition of the road is not good.,Poor Road Condition,Road,Improper maintenance,,Fouling/obstruction with hazardous element,,,Other Roads,1. collision,1. property,1. property damage
While I was going to bathroom some portion of roof plaster loosened and dropped at floor. ,Falling object,Dropped/rolling object,Improper maintenance,,Unstable Condition,Contact with hazardous element,,Other Roads,1. hitting on foot,1. human,1. injury
"A vehicle has dashed the street light in parking place of Digwadih Club, which is just in front of the club.",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,,,
"While coming out from Project office main gate , I am about to collide with a two wheeler which were coming from Jamadoba halt  towards Project office.",Vehicle Dashing,Driving vehicle,Driver error,,Contact with hazardous element,,,Other Roads,1. vehicle dashing,1. property ,1. property damage
"About 7:20PM,  Tipper driver of M/S XY named Damburudhar Patra Age-45 unloaded the raw material(fines) in ground hopper area, After unloading  he went for next trip without closing the dump body. He moved around 800 metre with open dump body condition. Suddenly near about drop gate at weigh bridge, security personnel saw him &amp; stop the vehicle &amp; avoid from  major accidents.",Neglegent Driving,Vehicle in improper configuration,Driver error,Carelessness,Fouling/obstruction with hazardous element,,,Main Road,1. vehicle dashing,1. property ,1. property damage
"Around 3 PM, A tipper of Braj mining corporation hit the side barricading near weigh bridge near store.",Vehicle Dashing,Driving vehicle,Driver error,,Contact with hazardous element,,,Other Roads,,,
"On dated 24.02.2018 at about 08:20 am, main gate security guard while going for checking of incoming vehicle, his right leg hit the newly erected handrail stand and he lost his balance but somehow managed to rescue himself ",Carelessness,Structure/shed/building,Pedestrian error,,Contact with hazardous element,Unstable condition,,Main Road,,,
"On dated 28.01.2018 at about 10:30 pm, while 16D guard was trying to enter into Pota cabin, due to unavailability of stairs, he lost his balance but before falling , rescued by another guard who was deployed there.  ",Lack of balance,Structure/shed/building,Improper design,,Unstable Condition,Contact with hazardous element,,Main Road,1. Slip /trip /fall,1. property ,1. property damage
"On dated 18.12.2017 at about 07:50 am ,at 16 D temp gate ,while Guard Chitranjan was checking Bolero ,suddenly a piece of the big stone from other end of the gate ,dropped near his foot  and somehow managed to rescue himself.",Falling object,Unorganized/poorly placed objects,Poor housekeeping,,Contact with hazardous element,,,Other Roads,1. hitting,1. human,1. injury
